employee_name,revenue,number_order,profit
Employee 1,21899029.58,263,5412075.77
Employee 2,23020473.91,277,5711562.71
Employee 3,18772942.52,238,4581238.04
Employee 4,25234940.90,299,6109173.30
Employee 5,18193673.04,229,4575520.20
Employee 6,15362775.24,200,3779677.41
Employee 7,19049808.34,231,4765392.33
Employee 8,17332793.32,215,4331239.82
Employee 9,18592145.62,219,4670303.85
Employee 10,22225762.62,249,5360354.55
Employee 11,21163286.81,274,5224086.61
Employee 12,19023113.04,253,4737157.57
Employee 13,21197437.48,272,5195973.93
Employee 14,30094813.26,379,7451742.49
Employee 15,29226413.82,350,7270955.50
Employee 16,29681044.77,370,7541014.04
Employee 17,18775218.76,229,4499504.70
Employee 18,22265345.24,277,5370098.26
Employee 19,23859277.00,285,5887461.73
Employee 20,21923738.85,261,5496814.59
Employee 21,30399865.34,374,7517264.52
Employee 22,28453129.52,330,7322005.73
Employee 23,30327177.96,370,7497776.33
Employee 24,22875361.41,261,5704976.76
Employee 25,19863453.93,259,5016629.98
Employee 26,20922217.51,246,5166098.25
Employee 27,22915724.64,275,5650589.32
Employee 28,41015789.57,516,10300341.62
Employee 29,46828711.56,555,11689179.11
Employee 30,20152850.88,240,4928665.72
Employee 31,19109193.06,236,4813558.53
Employee 32,14930495.98,190,3755814.86
Employee 33,18941133.93,222,4661635.66
Employee 34,19097177.63,227,4709382.86
Employee 35,16645194.82,209,4233986.02
Employee 36,17742799.37,206,4346604.11
Employee 37,20187004.44,234,5024228.22
Employee 38,16730308.30,223,4052487.83
Employee 39,16877452.15,212,4080810.02
Employee 40,20575463.39,226,5008964.38
Employee 41,19319505.78,242,4949208.68
Employee 42,19005427.94,227,4735244.35
Employee 43,15863040.74,187,3976533.17
Employee 44,18584021.97,213,4589396.90
Employee 45,33203573.51,412,8015615.61
Employee 46,29994118.61,354,7383227.56
Employee 47,30574044.38,371,7462638.13
Employee 48,44486649.62,553,11030451.45
Employee 49,45499893.11,534,11329296.98
Employee 50,23232473.28,274,5563736.93
Employee 51,21637992.66,260,5251869.25
Employee 52,21224704.76,261,5260992.11
Employee 53,22971942.98,263,5735681.64
Employee 54,16536644.33,196,4062271.35
Employee 55,19170612.16,241,4758471.83
Employee 56,18832059.09,224,4734861.90
Employee 57,19338024.18,235,4862379.10
Employee 58,18225662.48,225,4516067.33
Employee 59,18444363.81,213,4682031.68
Employee 60,18051277.50,224,4587311.55
Employee 61,15610442.00,204,3904785.22
Employee 62,16009317.60,189,3903452.49
Employee 63,20217963.03,219,4918138.21
Employee 64,23606606.06,312,5822923.70
Employee 65,29910647.12,373,7399337.90
Employee 66,29677560.84,369,7361247.42
Employee 67,19934638.50,230,4931654.14
Employee 68,16232180.38,211,3937413.80
Employee 69,16789407.83,228,4123349.51
Employee 70,18967588.67,238,4795476.81
Employee 71,17320831.65,220,4241689.74
Employee 72,21410488.63,259,5429584.78
Employee 73,21267788.55,261,5284581.51
Employee 74,20718073.43,258,5278691.82
Employee 75,20571610.91,274,5100742.98
Employee 76,43197037.41,512,10811573.34
Employee 77,47904428.61,551,11870554.49
Employee 78,27126771.26,348,6862652.83
Employee 79,28545845.02,345,7043957.79
Employee 80,29200527.87,347,7097468.64
Employee 81,28704427.21,358,7187892.51
Employee 82,32389077.35,390,7995932.02
Employee 83,27662118.16,355,6826733.20
Employee 84,45382955.72,559,11222084.14
Employee 85,45978027.22,549,11462172.59
Employee 86,28207792.14,339,7061869.06
Employee 87,27060245.79,340,6715408.02
Employee 88,28508382.15,365,7100961.88
Employee 89,41227764.97,503,10168039.08
Employee 90,43888265.61,540,10986381.65
Employee 91,43677755.91,529,10792087.36
Employee 92,44240321.43,526,10994999.78
Employee 93,18867164.35,248,4735194.56
Employee 94,24345210.90,276,6049442.23
Employee 95,22392953.06,271,5536558.21
Employee 96,20794671.86,259,5117819.85
Employee 97,13938496.97,197,3483213.91
Employee 98,16207495.27,206,4023474.99
Employee 99,18945796.26,223,4677273.74
Employee 100,15900353.07,200,3923866.77
Employee 101,17575004.16,209,4432279.42
Employee 102,17023847.27,218,4167200.26
Employee 103,18247571.43,217,4415986.13
Employee 104,15423130.78,202,3891818.66
Employee 105,18714934.15,230,4516887.11
Employee 106,18431268.83,231,4517613.55
Employee 107,32252015.92,400,8177547.07
Employee 108,30565384.29,360,7377170.19
Employee 109,30447689.61,379,7530260.44
Employee 110,48821160.18,566,12204341.95
Employee 111,47531990.54,571,11721686.13
Employee 112,23107986.53,279,5673840.86
Employee 113,20585541.80,259,5112446.06
Employee 114,21462004.26,247,5388761.84
Employee 115,22282357.27,282,5543132.00
Employee 116,18093454.21,225,4392310.58
Employee 117,17327882.90,207,4314566.66
Employee 118,18534456.92,228,4712466.17
Employee 119,16194603.16,213,4038330.01
Employee 120,16473699.31,215,3898297.64
Employee 121,15437661.73,205,3732063.44
Employee 122,17763287.51,222,4392435.95
Employee 123,15780493.98,190,3762108.88
Employee 124,16290837.33,219,4050469.82
Employee 125,19736076.48,233,4818358.11
Employee 126,47840863.40,571,11916769.22
Employee 127,41398546.51,511,10218184.28
Employee 128,26566142.76,333,6696225.27
Employee 129,31059067.51,372,7630047.92
Employee 130,29530792.30,358,7456214.95
Employee 131,43655220.38,523,10828548.07
Employee 132,40840899.23,538,10235806.85
Employee 133,40450196.36,528,9870262.15
Employee 134,43315652.58,521,10846706.12
Employee 135,47075611.74,561,11687273.48
Employee 136,41884392.56,511,10498864.05
Employee 137,17084281.11,205,4048920.81
Employee 138,16209577.22,207,4009968.46
Employee 139,19210068.90,224,4779648.60
Employee 140,19272306.73,240,4794152.94
Employee 141,18048590.78,218,4414529.69
Employee 142,42646179.27,539,10641679.28
Employee 143,47264787.67,588,11888777.99
Employee 144,30096394.91,368,7435528.97
Employee 145,29894773.19,370,7343619.61
Employee 146,28825917.64,356,7348403.85
Employee 147,20337541.68,254,4977951.87
Employee 148,19092288.40,243,4717158.45
Employee 149,21911454.52,261,5381441.93
Employee 150,21326970.33,268,5258924.73
Employee 151,22475331.81,278,5626415.30
Employee 152,18697518.37,238,4556539.96
Employee 153,24611041.44,270,6073637.71
Employee 154,20263679.06,265,5147669.07
Employee 155,20293360.50,245,5012217.20
Employee 156,20881631.64,256,5104014.02
Employee 157,25630890.94,318,6306942.41
Employee 158,22364206.80,277,5508806.09
Employee 159,27536081.78,336,6830433.40
Employee 160,35483159.97,404,8713051.01
Employee 161,29090738.05,357,7263282.25
Employee 162,32576121.97,375,8075239.78
Employee 163,29892607.16,374,7598901.57
Employee 164,29139962.72,361,7061858.23
Employee 165,44516547.51,549,11031943.97
Employee 166,41794338.56,526,10462546.45
Employee 167,41912244.20,534,10308252.33
Employee 168,45311092.16,543,11265590.44
Employee 169,22363796.21,272,5531913.52
Employee 170,19856140.77,253,5032328.85
Employee 171,20938323.77,248,5245690.50
Employee 172,21146170.52,260,5248511.86
Employee 173,48333394.25,575,11963494.42
Employee 174,45977787.58,564,11329337.78
Employee 175,28939427.05,336,7258609.35
Employee 176,30138840.42,369,7263260.02
Employee 177,32841839.05,402,8214895.15
Employee 178,44149902.56,548,10946542.03
Employee 179,48595434.93,562,11956640.62
Employee 180,22587821.62,283,5599283.18
Employee 181,22802151.71,274,5776688.16
Employee 182,26226270.06,305,6412459.69
Employee 183,22055135.06,270,5518896.44
Employee 184,29562246.76,369,7295437.04
Employee 185,30550884.72,363,7746062.64
Employee 186,28488349.82,353,7095931.97
