order_detail_id,product_id,quantity,price,total,order_id,createdDate,updatedDate,insertDate,updateDate,sourceSystem,isProcessed,batchId
130230,1022,2,7531.99,15063.98,43553,2024-10-04,,2024-10-04,2024-10-04,MySQL,0,
130231,71,6,3403.30,20419.80,43553,2024-10-04,,2024-10-04,2024-10-04,MySQL,0,
130232,1107,7,3445.12,24115.84,43553,2024-10-04,,2024-10-04,2024-10-04,MySQL,0,
130233,96,3,2273.84,6821.52,43553,2024-10-04,,2024-10-04,2024-10-04,MySQL,0,
130234,422,7,8442.45,59097.15,43554,2024-10-04,,2024-10-04,2024-10-04,MySQL,0,
130235,519,9,9692.09,87228.81,43555,2024-10-04,,2024-10-04,2024-10-04,MySQL,0,
130236,219,7,2351.94,16463.58,43555,2024-10-04,,2024-10-04,2024-10-04,MySQL,0,
130237,401,1,7996.66,7996.66,43555,2024-10-04,,2024-10-04,2024-10-04,MySQL,0,
130238,410,4,6628.65,26514.60,43555,2024-10-04,,2024-10-04,2024-10-04,MySQL,0,
130239,226,4,9825.41,39301.64,43555,2024-10-04,,2024-10-04,2024-10-04,MySQL,0,
130240,115,5,5429.53,27147.65,43556,2024-10-04,,2024-10-04,2024-10-04,MySQL,0,
130241,1,4,2570.63,10282.52,43556,2024-10-04,,2024-10-04,2024-10-04,MySQL,0,
130242,836,7,2821.42,19749.94,43556,2024-10-04,,2024-10-04,2024-10-04,MySQL,0,
130243,665,2,5493.18,10986.36,43556,2024-10-04,,2024-10-04,2024-10-04,MySQL,0,
130244,903,8,2008.45,16067.60,43556,2024-10-04,,2024-10-04,2024-10-04,MySQL,0,
130245,912,9,1518.51,13666.59,43557,2024-10-04,,2024-10-04,2024-10-04,MySQL,0,
130246,717,3,6392.77,19178.31,43558,2024-10-04,,2024-10-04,2024-10-04,MySQL,0,
130247,261,9,4598.28,41384.52,43559,2024-10-04,,2024-10-04,2024-10-04,MySQL,0,
130248,793,10,7786.46,77864.60,43559,2024-10-04,,2024-10-04,2024-10-04,MySQL,0,
130249,581,10,5648.91,56489.10,43560,2024-10-04,,2024-10-04,2024-10-04,MySQL,0,
130250,365,4,6829.88,27319.52,43561,2024-10-04,,2024-10-04,2024-10-04,MySQL,0,
130251,605,7,9941.55,69590.85,43561,2024-10-04,,2024-10-04,2024-10-04,MySQL,0,
